CODE;FR
15891610-9;Bouillons instantanés
15891900-9;Soupes de légumes
15892000-7;Sucs et extraits d'origine végétale, matières peptiques et épaississants
15892100-8;Sucs d'origine végétale
15892200-9;Extraits d'origine végétale
15892400-1;Épaississants
15893000-4;Denrées sèches
15893100-5;Préparations alimentaires
15893200-6;Préparations pour desserts
15893300-7;Préparations pour sauces
15894000-1;Produits alimentaires transformés
15894100-2;Repas végétariens
15894200-3;Repas préparés
15894210-6;Repas pour écoles
15894220-9;Repas pour hôpitaux
15894300-4;Plats préparés
15894400-5;Casse-croûte
15894500-6;Produits pour distributeurs automatiques
15894600-7;Garnitures pour sandwichs
15894700-8;Épicerie fine
15895000-8;Aliments pour restauration rapide
15895100-9;Hamburgers
15896000-5;Produits surgelés
15897000-2;Aliments en conserve et rations de campagne
15897100-3;Rations de campagne
15897200-4;Aliments en conserve
15897300-5;Colis alimentaires
15898000-9;Levure
15899000-6;Levure chimique
15900000-7;Boissons, tabac et produits connexes
15910000-0;Boissons alcoolisées distillées
15911000-7;Boissons spiritueuses
15911100-8;Spiritueux
15911200-9;Liqueurs
15930000-6;Vins
15931000-3;Vins non aromatisés
15931100-4;Vin mousseux
15931200-5;Vin de table
15931300-6;Porto
15931400-7;Madère
15931500-8;Moût de raisin
15931600-9;Sherry
15932000-0;Lie de vin
15940000-9;Cidre et autres vins à base de fruits
15941000-6;Cidre
15942000-3;Vins à base de fruits
15950000-2;Boissons fermentées non distillées
15951000-9;Vermouth
15960000-5;Bière de malt
15961000-2;Bière
15961100-3;Bière blonde
15962000-9;Drèches de brasserie ou de distillerie
15980000-1;Boissons sans alcool
15981000-8;Eau minérale
15981100-9;Eau minérale plate
15981200-0;Eau minérale gazeuse
15981300-1;Eau à l'état solide
15981310-4;Glace
15981320-7;Neige
15981400-2;Eaux minérales aromatisées
15982000-5;Boissons non alcoolisées
15982100-6;Sirops de fruits
15982200-7;Lait chocolaté
15990000-4;Tabac, produits à base de tabac et articles connexes
15991000-1;Produits à base de tabac
15991100-2;Cigares
15991200-3;Cigarillos
15991300-4;Cigarettes
15992000-8;Tabac
15992100-9;Tabac manufacturé
15993000-5;Articles de bureau de tabac
15994000-2;Papier à cigarettes et papier-filtre
15994100-3;Papier à cigarettes
15994200-4;Papier-filtre
16000000-5;Machines agricoles
16100000-6;Machines agricoles et sylvicoles pour la préparation ou la culture des sols
16110000-9;Charrues ou herses à disques
16120000-2;Herses, scarificateurs, cultivateurs, sarcleuses ou houes
16130000-5;Semoirs, plantoirs ou repiqueurs
16140000-8;Épandeurs de fumier
16141000-5;Distributeurs d'engrais
16150000-1;Rouleaux pour pelouses ou terrains de sports
16160000-4;Matériel de jardinage divers
16300000-8;Moissonneuses
16310000-1;Faucheuses
16311000-8;Tondeuses à gazon
16311100-9;Tondeuses à gazon pour pelouses, parcs ou terrains de sports
16320000-4;Machines de fenaison
16330000-7;Presses à paille ou à fourrage
16331000-4;Presses ramasseuses
16340000-0;Moissonneuses-batteuses
16400000-9;Machines de pulvérisation à usage agricole ou horticole
16500000-0;Remorques et semi-remorques autochargeuses ou déchargeuses à usage agricole
16510000-3;Remorques autochargeuses à usage agricole
16520000-6;Remorques déchargeuses à usage agricole
16530000-9;Semi-remorques autochargeuses à usage agricole
16540000-2;Semi-remorques déchargeuses à usage agricole
16600000-1;Machines spécialisées à usage agricole ou sylvicole
16610000-4;Machines de nettoyage, de tri ou de calibrage d'œufs, de fruits ou d'autres produits
16611000-1;Machines de nettoyage de produits agricoles
16611100-2;Machines de nettoyage d'œufs
16611200-3;Machines de nettoyage de fruits
16612000-8;Machines de tri ou de calibrage de produits agricoles
16612100-9;Machines de tri ou de calibrage d'œufs
16612200-0;Machines de tri ou de calibrage de fruits
16613000-5;Machines de nettoyage, de tri ou de calibrage de semences, de graines ou de légumes secs
16620000-7;Trayeuses
16630000-0;Machines de préparation d'aliments pour animaux
16640000-3;Machines apicoles
16650000-6;Machines avicoles
16651000-3;Incubateurs et écloseries avicoles
16700000-2;Tracteurs
16710000-5;Tracteurs agricoles à conducteur accompagnant
16720000-8;Tracteurs d'occasion
16730000-1;Moteurs de traction
16800000-3;Pièces pour machines agricoles et sylvicoles
16810000-6;Pièces pour machines agricoles
16820000-9;Pièces pour machines sylvicoles
18000000-9;Vêtements, articles chaussants, bagages et accessoires
18100000-0;Vêtements professionnels, vêtements de travail spéciaux et accessoires
18110000-3;Vêtements professionnels
18113000-4;Vêtements à usage industriel
18114000-1;Combinaisons de travail
18130000-9;Vêtements de travail spéciaux
18132000-3;Vêtements d'aviateur
18132100-4;Vestons d'aviateur
18132200-5;Combinaisons d'aviateur
18140000-2;Accessoires pour vêtements de travail
18141000-9;Gants de travail
18142000-6;Visières de sécurité
18143000-3;Équipements de protection
18200000-1;Vêtements d'extérieur
18210000-4;Manteaux
18211000-1;Pèlerines
18212000-8;Capes
18213000-5;Coupe-vent
18220000-7;Vêtements de protection contre les intempéries
18221000-4;Vêtements imperméables
18221100-5;Pèlerines imperméables
18221200-6;Anoraks
18221300-7;Imperméables
18222000-1;Vêtements de fonction
18222100-2;"Costumes (hommes); tailleurs (femmes)"
18222200-3;Ensembles
18223000-8;Vestes et blazers
18223100-9;Blazers
18223200-0;Vestes
18224000-5;Vêtements en tissu enduit ou imprégné
18230000-0;Vêtements d'extérieur divers
18231000-7;Robes
18232000-4;Jupes
18233000-1;Shorts
18234000-8;Pantalons
18235000-5;Pull-overs, cardigans et articles similaires
18235100-6;Pull-overs
18235200-7;Cardigans
18235300-8;Sweat-shirts
18235400-9;Gilets
18300000-2;Articles d'habillement
18310000-5;Sous-vêtements
18311000-2;Combinaisons
18312000-9;Caleçons
18313000-6;Slips pour femmes
18314000-3;Peignoirs de bain
18315000-0;Bas
18316000-7;Collants
18317000-4;Chaussettes
18318000-1;Vêtements de nuit
18318100-2;Chemises de nuit
18318200-3;Robes de chambre
18318300-4;Pyjamas
18318400-5;Maillots de corps
18318500-6;Chemises de nuit pour femmes
18320000-8;Soutiens-gorge, corsets, jarretelles et articles similaires
18321000-5;Soutiens-gorge
18322000-2;Corsets
18323000-9;Jarretelles
18330000-1;T-shirts et chemises
18331000-8;T-shirts
18332000-5;Chemises
18333000-2;Chemises polo
18400000-3;Vêtements spéciaux et accessoires
18410000-6;Vêtements spéciaux
18411000-3;Vêtements pour bébés
18412000-0;Vêtements de sport
18412100-1;Survêtements de sport
18412200-2;Chemises de sport
18412300-3;Combinaisons de ski
18412800-8;Maillots de bain
18420000-9;Accessoires d'habillement
18421000-6;Mouchoirs
18422000-3;Écharpes
18423000-0;Cravates
18424000-7;Gants
18424300-0;Gants jetables
18424400-1;Moufles
18424500-2;Gants à crispin
18425000-4;Ceintures
18425100-5;Cartouchières
18440000-5;Chapeaux et coiffures
18441000-2;Chapeaux
18443000-6;Coiffures et accessoires de coiffure
18443100-7;Serre-tête
18443300-9;Coiffures
18443310-2;Bérets
18443320-5;Calots de campagne
18443330-8;Capuchons
18443340-1;Képis
18443400-0;Jugulaires pour coiffures
18443500-1;Visières
18444000-3;Coiffures de protection
18444100-4;Coiffures de sécurité
18444110-7;Casques
18444111-4;Casques antichoc
18444112-1;Casques pour cyclistes
18444200-5;Casques de sécurité
18450000-8;Fermetures (vêtements)
18451000-5;Boutons
18451100-6;Parties de boutons
18452000-2;Épingles de sûreté
18453000-9;Fermetures à glissière
18500000-4;Bijouterie, montres et articles connexes
18510000-7;Bijouterie et articles connexes
18511000-4;Pierres précieuses pour bijouterie
18511100-5;Diamants
18511200-6;Rubis
18511300-7;Émeraudes
18511400-8;Opale
18511500-9;Quartz
18511600-0;Tourmaline
18512000-1;Pièces de monnaie et médailles
18512100-2;Pièces de monnaie
18512200-3;Médailles
18513000-8;Bijoux
18513100-9;Perles
18513200-0;Pièces d'orfèvrerie
18513300-1;Objets en métal précieux
18513400-2;Objets en pierres précieuses ou semi-précieuses
18513500-3;Pièces d'argenterie
18520000-0;Horlogerie personnelle
18521000-7;Montres
18521100-8;Verre à montres
18522000-4;Montres-bracelets
18523000-1;Chronomètres
18530000-3;Cadeaux et prix
18600000-5;Fourrure et articles en fourrure
18610000-8;Articles en fourrure
18611000-5;Pelleterie
18612000-2;Vêtements en fourrure
18613000-9;Articles en fourrure synthétique
18620000-1;Fourrures
18800000-7;Articles chaussants
18810000-0;Chaussures autres que les chaussures de sport ou de protection
18811000-7;Chaussures étanches
18812000-4;Chaussures partiellement en caoutchouc ou en plastique
18812100-5;Sandales à dessus caoutchouc ou plastique
18812200-6;Bottes en caoutchouc
18812300-7;Chaussures de ville à dessus caoutchouc ou plastique
18812400-8;Tongs
18813000-1;Chaussures à dessus cuir
18813100-2;Sandales
18813200-3;Pantoufles
18813300-4;Chaussures de ville
18814000-8;Chaussures à dessus textile
18815000-5;Bottes
18815100-6;Bottines
18815200-7;Bottillons
18815300-8;Bottes hautes
18815400-9;Cuissardes
18816000-2;Galoches
18820000-3;Chaussures de sport
18821000-0;Chaussures de ski
18821100-1;Chaussures de ski de fond
18822000-7;Chaussures d'entraînement
18823000-4;Chaussures de montagne
18824000-1;Chaussures de football
18830000-6;Chaussures de protection
18831000-3;Chaussures à embout de protection métallique
18832000-0;Chaussures spéciales
18832100-1;Chaussures d'aviateur
18840000-9;Parties de chaussures
18841000-6;Dessus de chaussures
18842000-3;Semelles
18843000-0;Talons
18900000-8;Bagages, sellerie, sacs et sachets
18910000-1;Sellerie
18911000-8;Selles d'équitation
18912000-5;Cravaches
18913000-2;Fouets
18920000-4;Bagages
18921000-1;Valises
18923000-5;Bourses et portefeuilles
18923100-6;Bourses
18923200-7;Portefeuilles
18924000-2;Malles
18925000-9;Porte-gourdes et étuis
18925100-0;Porte-gourdes
18925200-1;Étuis
18929000-7;Trousses de toilette
18930000-7;Sacs et sachets
18931000-4;Sacs de voyage
18931100-5;Sacs à dos
18932000-1;Sacs de sports
18933000-8;Sacs pour courrier ou colis
18933100-9;Sacs postaux
18934000-5;Sacoches
18935000-2;Sacs à linge
18936000-9;Sacs en textile
18937000-6;Sacs d'emballage
18937100-7;Sachets d'emballage
18938000-3;Enveloppes rembourrées
18939000-0;Sacs à main
19000000-6;Produits en cuir et textiles, matériaux en plastique et en caoutchouc
19100000-7;Cuir
19110000-0;Peau de chamois
19120000-3;Cuir de bovidé ou d'équidé
19130000-6;Cuir d'ovin, de caprin ou de porcin
19131000-3;Peau de mouton ou d'agneau
19132000-0;Peau de chèvre ou de chevreau
19133000-7;Cuir de porcin
19140000-9;Cuir d'autres animaux, cuir reconstitué et autres cuirs
19141000-6;Cuir d'autres animaux
19142000-3;Cuir reconstitué
19143000-0;Similicuir
19144000-7;Cuir verni
19160000-5;Bracelets de montre
19170000-8;Articles en cuir utilisés dans les machines ou les appareils mécaniques
19200000-8;Textiles et articles connexes
19210000-1;Tissus
19211000-8;Tissu synthétique
19211100-9;Tissu mélangé
19212000-5;Tissu en coton
19212100-6;Coutil
19212200-7;Denim
19212300-8;Toile
19212310-1;Articles en toile
19212400-9;Popeline
19212500-0;Sangle
19212510-3;Sangles
19220000-4;Tissu cardé
19230000-7;Tissu de lin
19231000-4;Linge
19240000-0;Tissu spécial
19241000-7;Velours
19242000-4;Tissu éponge
19243000-1;Tissu d'ameublement
19244000-8;Tissu à rideaux
19245000-5;Tissu de doublure
19250000-3;Tissu tricoté ou crocheté
19251000-0;Tricot
19251100-1;Tissu de velours
19252000-7;Tissu crocheté
19260000-6;Étoffe
19270000-9;Tissu non-tissé
19280000-2;Laine, cuirs et peaux
19281000-9;Laine
19282000-6;Peaux
19283000-3;Peaux et plumes d'oiseaux
19400000-0;Fil textile
19410000-3;Fibres textiles naturelles
19420000-6;Fibres textiles artificielles
19430000-9;Fil textile en fibres naturelles
19431000-6;Fil de soie
19432000-3;Fil de laine
19433000-0;Fil de coton
19434000-7;Fil de lin
19435000-4;Fil à coudre en fibres naturelles
19435100-5;Fil à coudre
19435200-6;Fil à tricoter
19436000-1;Fil en fibres textiles végétales
19440000-2;Fil ou filé synthétique
19441000-9;Filé synthétique
19442000-6;Fil synthétique
19442100-7;Fil à coudre synthétique
19442200-8;Fil à tricoter synthétique
19500000-1;Produits en caoutchouc et en plastique
19510000-4;Produits en caoutchouc
19511000-1;Chambres à air, bandes de roulement et flaps en caoutchouc
19511100-2;Flaps
19511200-3;Chambres à air
19511300-4;Bandes de roulement
19512000-8;Articles en caoutchouc non vulcanisé
19513000-5;Tissus caoutchoutés
19513100-6;Tissu pour cordée de pneumatique
19513200-7;Ruban adhésif en tissu caoutchouté
19514000-2;Caoutchouc régénéré
19520000-7;Produits en plastique
19521000-4;Produits en polystyrène
19521100-5;Feuilles de polystyrène
19521200-6;Plaques de polystyrène
19522000-1;Résines
19522100-2;Résine époxy
19522110-5;Tubes en résine d'époxy
19600000-2;Déchets de cuir, déchets textiles, déchets de caoutchouc et déchets de plastique
19610000-5;Déchets de cuir
19620000-8;Déchets textiles
19630000-1;Déchets de caoutchouc
19640000-4;Sacs et sachets à ordures en polyéthylène
19700000-3;Caoutchouc et fibres synthétiques
19710000-6;Caoutchouc synthétique
19720000-9;Fibres synthétiques
19721000-6;Câbles de fibres synthétiques
19722000-3;Fil à haute ténacité
19723000-0;Fil à texture simple
19724000-7;Monofilament synthétique
19730000-2;Fibres artificielles
19731000-9;Fibres artificielles discontinues
19732000-6;Polypropylène
19733000-3;Fil texturé artificiel
22000000-0;Imprimés et produits connexes
22100000-1;Livres, brochures et dépliants imprimés
22110000-4;Livres imprimés
22111000-1;Livres scolaires
22112000-8;Manuels scolaires
22113000-5;Livres de bibliothèque
22114000-2;Dictionnaires, cartes, livres de musique et autres livres
22114100-3;Dictionnaires
22114200-4;Atlas
22114300-5;Cartes
22114310-8;Plans cadastraux
22114311-5;Cyanotypies
22114400-6;Partitions
22114500-7;Encyclopédies
22120000-7;Publications
22121000-4;Publications techniques
22130000-0;Annuaires
22140000-3;Dépliants
22150000-6;Brochures
22160000-9;Fascicules
22200000-2;Journaux, revues spécialisées, périodiques et magazines
22210000-5;Journaux
22211000-2;Revues spécialisées
22211100-3;Journaux officiels
22212000-9;Périodiques
22212100-0;Publications périodiques
22213000-6;Magazines
22300000-3;Cartes postales, cartes de vœux et autres imprimés
22310000-6;Cartes postales
22312000-0;Images
22313000-7;Décalcomanies
22314000-4;Dessins
22315000-1;Photographies
22320000-9;Cartes de vœux
22321000-6;Cartes de Noël
22400000-4;Timbres, formules de chèque, billets de banque, actions, publicité professionnelle, catalogues et manuels
22410000-7;Timbres
22411000-4;Timbres de Noël
22412000-1;Nouveaux timbres
22413000-8;Timbres-épargne
22414000-5;Carnets de timbres-poste
22420000-0;Papier timbré
22430000-3;Billets de banque
22440000-6;Formules de chèque
22450000-9;Imprimés infalsifiables
22451000-6;Passeports
22452000-3;Formules de mandat de poste
22453000-0;Vignettes automobiles
22454000-7;Permis de conduire
22455000-4;Cartes d'identité
22455100-5;Bracelet d'identité
22456000-1;Permis
22457000-8;Cartes d'accès
22458000-5;Imprimés sur commande
22459000-2;Tickets
22459100-3;Autocollants et bandes publicitaires
22460000-2;Publicité professionnelle, catalogues commerciaux et manuels
22461000-9;Catalogues
22461100-0;Porte-liste
22462000-6;Imprimés publicitaires
22470000-5;Manuels
22471000-2;Manuels informatiques
22472000-9;Manuels d'instruction
22473000-6;Manuels techniques
22500000-5;Plaques ou cylindres d'impression, autre matériel d'imprimerie
22510000-8;Plaques offset
22520000-1;Matériel de gravure sèche
22521000-8;Matériel d'estampage
22600000-6;Encre
22610000-9;Encre d'imprimerie
22611000-6;Encre pour héliogravure
22612000-3;Encre de Chine
22800000-8;Registres, livres comptables, classeurs, formulaires et autres articles de papeterie imprimés en papier ou en carton
22810000-1;Registres en papier ou en carton
22813000-2;Livres comptables
22814000-9;Carnets de quittances
22815000-6;Calepins
22816000-3;Blocs
22816100-4;Bloc-notes
22816200-5;Carnets de sténographie
22816300-6;Carnets de Post-it
22817000-0;Agendas ou mémentos personnels
22819000-4;Carnets d'adresses
22820000-4;Formulaires
22821000-1;Formulaires électoraux
22822000-8;Formulaires commerciaux
